[2025-03-30 21:01:44] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:21] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:22] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:22] Client IP: 127.0.0.1 Method: GET, Path: Web/style.css
[2025-03-30 21:02:22] Client IP: 127.0.0.1 Method: GET, Path: Web/Bui_Thi_Ly.jpg
[2025-03-30 21:02:22] Client IP: 127.0.0.1 Method: GET, Path: Web/script.js
[2025-03-30 21:02:22] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:22] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:31] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:33] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:34] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:34] Client IP: 127.0.0.1 Method: GET, Path: Web/style.css
[2025-03-30 21:02:34] Client IP: 127.0.0.1 Method: GET, Path: Web/Bui_Thi_Ly.jpg
[2025-03-30 21:02:34] Client IP: 127.0.0.1 Method: GET, Path: Web/script.js
[2025-03-30 21:02:34] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:34] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:02:46] Client IP: 127.0.0.1 Method: GET, Path: Web/style.css
[2025-03-30 21:02:46] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:03:09] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:04:24] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:04:36] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:04:38] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
[2025-03-30 21:04:38] Client IP: 127.0.0.1 Method: GET, Path: Web/style.css
[2025-03-30 21:04:38] Client IP: 127.0.0.1 Method: GET, Path: Web/Bui_Thi_Ly.jpg
[2025-03-30 21:04:38] Client IP: 127.0.0.1 Method: GET, Path: Web/script.js
[2025-03-30 21:04:38] Client IP: 127.0.0.1 Method: GET, Path: Web/index.html
